Reviewer,Comment,Fix,Status
R1,VIX threshold look-ahead bias,NB-R02: p75 of train+val VIX,[DONE]
R1,Overlapping observations / serial corr,NB-R04: block bootstrap + non-overlap Fisher,[DONE]
R1,Single High-VIX episode generalizability,NB-R05: annual walk-forward validation,[DONE]
R1,Factual error at 50bps cost,NB-R09: corrected Table 8 + text,[DONE]
R1,Signal timing ambiguity,NB-R09: explicit execution protocol stated,[DONE]
R1,Class-stratified metrics for High-VIX,NB-R04: precision/recall/F1 per regime,[DONE]
R1,Hyperparameter table + wrong DOIs,NB-R03: hp table; DOIs fixed manually,[DONE]
R2,VIX threshold look-ahead bias,NB-R02 (same as R1),[DONE]
R2,Temporal concentration of High-VIX,NB-R05 (same as R1),[DONE]
R2,Missing simple baseline comparison,"NB-R06: logistic reg, persistence, maj",[DONE]
R2,Sharpe convention not stated,"NB-R09: RFR=6.5%, 252 days",[DONE]
R2,SHAP values not actually shown,NB-R07: regime-specific SHAP + plots,[DONE]
R2,Feature engineering details missing,NB-R10 Table 2 + manuscript Section 3,[DONE]
R3,Label leakage at split boundaries,NB-R01: last 21 days trimmed per split,[DONE]
R3,VIX threshold look-ahead bias,NB-R02 (same),[DONE]
R3,Overlapping / clustering statistics,NB-R04 (same as R1),[DONE]
R3,Ablation studies,NB-R08: per-model + no-attention ablation,[DONE]
R3,Old references,Manuscript: added 5 recent refs (2022-25),[MANUSCRIPT]
R3,Regime-specific baselines + target date,NB-R04 + NB-R10; clarified in manuscript,[DONE]
