Category,Issue,Fix,Status
Look-ahead bias,Regime threshold computed from the test-period VIX distribution,NB-R02: threshold fixed from train+val distribution only,[DONE]
Label leakage,Boundary rows near each split edge could leak future information into labels,NB-R01: last 21 rows trimmed at each split boundary,[DONE]
Statistical validity,Overlapping 21-day-ahead labels violate independence assumptions in significance testing,NB-R04: block bootstrap + non-overlapping Fisher test,[DONE]
Statistical validity,"High-VIX test days concentrated in a single episode, limiting generalizability",NB-R05: annual walk-forward validation across independent years,[DONE]
Statistical validity,Regime-specific baselines and target-realization timing needed clarification,NB-R04 + NB-R10: within-regime majority baselines reported,[DONE]
Trading simulation,Reported Sharpe ratio at 50bps transaction cost was factually incorrect,NB-R09: cost-sensitivity table and text updated,[DONE]
Trading simulation,Signal timing and execution protocol were ambiguous,NB-R09: explicit execution protocol stated (signal/entry/exit timing),[DONE]
Reporting completeness,Class-stratified metrics (precision/recall/F1) missing within each regime,"NB-R04: per-regime precision, recall, F1 reported",[DONE]
Reporting completeness,Final hyperparameters and reference metadata were missing or incorrect,NB-R03: hyperparameter table added; reference metadata fixed,[DONE]
Reporting completeness,SHAP feature-importance claims made without showing computed values,NB-R07: regime-specific SHAP values and plots,[DONE]
Reporting completeness,Feature-engineering specification needed for reproducibility,NB-R10: full feature specification table,[DONE]
Model robustness,No comparison against simple baseline models under the same regime filter,"NB-R06: majority-class, persistence, and logistic-regression baselines",[DONE]
Model robustness,No ablation of individual ensemble components,NB-R08: per-model and no-attention ablation studies,[DONE]
Documentation,Literature references were outdated,Reference list updated with more recent sources,[DONE]
